cellI,x,y,z,S,omega,k,nut
3952,0.013125,0.01,0.000125,6.25e-08,279932.6644,36.791338,2.47377131e-05
3953,0.013375,0.01,0.000125,6.25e-08,279918.8004,36.78862461,2.473658714e-05
3954,0.013625,0.01,0.000125,6.25e-08,279881.2747,36.78128047,2.473353948e-05
3955,0.013875,0.01,0.000125,6.25e-08,279821.98,36.76967656,2.472872375e-05
3956,0.014125,0.01,0.000125,6.25e-08,279742.6775,36.75415835,2.472228289e-05
3957,0.014375,0.01,0.000125,6.25e-08,279645.0057,36.73504749,2.471434986e-05
3958,0.014625,0.01,0.000125,6.25e-08,279530.4894,36.71264343,2.470504832e-05
3959,0.014875,0.01,0.000125,6.25e-08,279400.5476,36.687225,2.469449339e-05
3960,0.015125,0.01,0.000125,6.25e-08,279256.5017,36.65905197,2.468279224e-05
3961,0.015375,0.01,0.000125,6.25e-08,279099.5834,36.62836651,2.467004473e-05
3962,0.015625,0.01,0.000125,6.25e-08,278930.9417,36.5953946,2.465634404e-05
3963,0.015875,0.01,0.000125,6.25e-08,278751.6496,36.56034728,2.464177718e-05
3964,0.016125,0.01,0.000125,6.25e-08,278562.7109,36.52342197,2.462642553e-05
3965,0.016375,0.01,0.000125,6.25e-08,278365.0657,36.4848036,2.461036534e-05
3966,0.016625,0.01,0.000125,6.25e-08,278159.5974,36.44466584,2.459366824e-05
3967,0.016875,0.01,0.000125,6.25e-08,277947.1378,36.40317224,2.457640169e-05
3968,0.017125,0.01,0.000125,6.25e-08,277728.4733,36.36047731,2.455862946e-05
3969,0.017375,0.01,0.000125,6.25e-08,277504.3503,36.31672766,2.454041212e-05
3970,0.017625,0.01,0.000125,6.25e-08,277275.4809,36.2720631,2.452180744e-05
3971,0.017875,0.01,0.000125,6.25e-08,277042.5485,36.22661769,2.450287088e-05
3972,0.018125,0.01,0.000125,6.25e-08,276806.2143,36.18052101,2.448365612e-05
3973,0.018375,0.01,0.000125,6.25e-08,276567.1254,36.13389983,2.44642157e-05
3974,0.018625,0.01,0.000125,6.25e-08,276325.9235,36.08687966,2.444460174e-05
3975,0.018875,0.01,0.000125,6.25e-08,276083.2503,36.03958592,2.442486639e-05
3976,0.019125,0.01,0.000125,6.25e-08,275839.7554,35.99214542,2.440506245e-05
3977,0.019375,0.01,0.000125,6.25e-08,275596.1062,35.94468832,2.438524418e-05
3978,0.019625,0.01,0.000125,6.25e-08,275352.9997,35.89735034,2.436546828e-05
3979,0.019875,0.01,0.000125,6.25e-08,275111.1754,35.85027536,2.434579493e-05
3980,0.020125,0.01,0.000125,6.25e-08,274871.4306,35.80361835,2.432628902e-05
3981,0.020375,0.01,0.000125,6.25e-08,274634.6385,35.75754883,2.430702166e-05
3982,0.020625,0.01,0.000125,6.25e-08,274401.7692,35.71225504,2.428807184e-05
3983,0.020875,0.01,0.000125,6.25e-08,274173.9192,35.66794952,2.426952889e-05
3984,0.021125,0.01,0.000125,6.25e-08,273952.3515,35.62487703,2.425149571e-05
3985,0.021375,0.01,0.000125,6.25e-08,273738.5398,35.58332298,2.423409237e-05
3986,0.021625,0.01,0.000125,6.25e-08,273534.2239,35.54362427,2.421746067e-05
3987,0.021875,0.01,0.000125,6.25e-08,273341.4036,35.50616798,2.420176357e-05
3988,0.022125,0.01,0.000125,6.25e-08,273157.3185,35.47041656,2.418677654e-05
3989,0.022375,0.01,0.000125,6.25e-08,272967.5041,35.43356066,2.417132199e-05
3990,0.022625,0.01,0.000125,6.25e-08,272770.8559,35.39538664,2.415530989e-05
3991,0.022875,0.01,0.000125,6.25e-08,272567.8405,35.355986,2.41387781e-05
3992,0.023125,0.01,0.000125,6.25e-08,272357.1291,35.31510188,2.41216183e-05
3993,0.023375,0.01,0.000125,6.25e-08,272135.4099,35.27209308,2.41035606e-05
3994,0.023625,0.01,0.000125,6.25e-08,271895.6143,35.22559074,2.408402901e-05
3995,0.023875,0.01,0.000125,6.25e-08,271624.6531,35.17306076,2.406195684e-05
3996,0.024125,0.01,0.000125,6.25e-08,271294.5522,35.10908884,2.403506419e-05
3997,0.024375,0.01,0.000125,6.25e-08,270860.8044,35.02506953,2.399972259e-05
3998,0.024625,0.01,0.000125,6.25e-08,270155.3669,34.88851704,2.394223154e-05
3999,0.024875,0.01,0.000125,6.25e-08,269136.9188,34.69158246,2.385920413e-05
20000,0.025,0.01011211771,0.000125,5.60588575e-08,253815.9784,31.75992253,2.260624865e-05
20400,0.025,0.01033635315,0.000125,5.605886e-08,307391.1686,37.95032298,2.207085006e-05
20400,0.025125,0.01044847087,0.000125,6.25e-08,307391.1686,37.95032298,2.207085006e-05
20401,0.025375,0.01044847087,0.000125,6.25e-08,373621.0065,50.80969769,2.64084704e-05
20402,0.025625,0.01044847087,0.000125,6.25e-08,444100.9688,65.21068931,3.094007474e-05
20403,0.025875,0.01044847087,0.000125,6.25e-08,491973.0815,75.2461263,3.397683669e-05
20404,0.026125,0.01044847087,0.000125,6.25e-08,511120.1029,79.29241263,3.518316052e-05
20405,0.026375,0.01044847087,0.000125,6.25e-08,505750.3384,78.15636494,3.484530293e-05
20406,0.026625,0.01044847087,0.000125,6.25e-08,494697.4077,75.82102006,3.414875694e-05
20407,0.026875,0.01044847087,0.000125,6.25e-08,481692.4855,73.07970278,3.332724109e-05
20408,0.027125,0.01044847087,0.000125,6.25e-08,467824.9432,70.16610988,3.244882826e-05
20409,0.027375,0.01044847087,0.000125,6.25e-08,453624.0444,67.19492156,3.154663796e-05
20410,0.027625,0.01044847087,0.000125,6.25e-08,439701.6891,64.29653292,3.065943504e-05
20411,0.027875,0.01044847087,0.000125,6.25e-08,426581.4215,61.58038739,2.98207959e-05
20412,0.028125,0.01044847087,0.000125,6.25e-08,414395.9582,59.07282371,2.903961198e-05
20413,0.028375,0.01044847087,0.000125,6.25e-08,403039.0236,56.75031413,2.830948255e-05
20414,0.028625,0.01044847087,0.000125,6.25e-08,392472.8438,54.60336815,2.762834347e-05
20415,0.028875,0.01044847087,0.000125,6.25e-08,382692.9178,52.62910101,2.699625253e-05
